Nyckel;Miltal;MY;Kaross;Drift;Märke;Modell;Pris;Dragkrok;Batteristorlek
2447;6682;2021;SUV;2;Peugeot;e-2008;199800;0;50
2448;5537;2021;SUV;2;Peugeot;e-2008;208800;0;50
2449;5797;2021;SUV;2;Peugeot;e-2008;204800;0;50
2450;2969;2021;SUV;2;Peugeot;e-2008;209800;0;50
2451;6018;2021;SUV;2;Peugeot;e-2008;204800;0;50
2452;2738;2021;SUV;2;Peugeot;e-2008;199800;0;50
2453;2005;2022;SUV;2;Peugeot;e-2008;209800;0;50
2454;3042;2022;SUV;2;Peugeot;e-2008;199800;0;50
2455;3798;2021;SUV;2;Peugeot;e-2008;209800;0;50
2456;5134;2022;SUV;2;Peugeot;e-2008;194800;0;50
2457;4363;2021;SUV;2;Peugeot;e-2008;199800;0;50
2458;3189;2022;SUV;2;Peugeot;e-2008;209800;0;50
2459;6288;2021;SUV;2;Peugeot;e-2008;179800;0;50
2460;4230;2021;SUV;2;Peugeot;e-2008;199800;0;50
2461;6296;2021;SUV;2;Peugeot;e-2008;179800;0;50
2462;3889;2021;SUV;2;Peugeot;e-2008;184800;0;50
2463;3057;2022;SUV;2;Peugeot;e-2008;199800;0;50
2464;6403;2023;Coupé;4;Volkswagen;ID.5;409900;1;77
2465;3688;2021;Sedan;4;Tesla;Model 3;339700;1;75
2466;1220;2024;Sedan;2;Volkswagen;ID.7;529500;0;77
2467;4760;2022;SUV;2;Volkswagen;ID.4;359800;0;77
2468;750;2023;SUV;4;Mercedes-Benz;EQA;434900;0;66
2469;2749;2023;Halvkombi;2;Nissan;Leaf;249500;0;59
2470;1970;2023;Halvkombi;2;Nissan;Leaf;249500;0;59
2471;11172;2021;SUV;2;BMW;iX3;369500;0;74
2472;973;2025;SUV;4;Volvo;EC40;549500;0;79
2473;1030;2023;Halvkombi;2;Opel;Corsa-e;209500;0;50
2474;7660;2021;SUV;2;Volkswagen;ID.4;319900;0;77
2475;5580;2021;Halvkombi;2;Peugeot;e-208;164500;0;50
2476;1003;2024;Halvkombi;2;Cupra;Born;299900;0;58
2477;2500;2023;Halvkombi;2;Cupra;Born;289500;0;58
2478;600;2025;Familjebuss;2;Volkswagen;ID.Buzz;892000;0;77
2479;6014;2021;SUV;2;Kia;e-Niro;289899;0;64
2480;9426;2019;SUV;2;Kia;e-Niro;259900;0;64
2481;3208;2021;Halvkombi;2;Renault;Zoe;169000;0;52
2482;5650;2022;Sedan;2;Porsche;Taycan;650000;0;84
2483;16518;2021;SUV;4;Tesla;Model Y;289800;0;75
2484;18348;2020;Sedan;4;Tesla;Model 3;214800;0;74
2485;5741;2020;Halvkombi;2;Honda;E;239000;0;36
2486;5001;2021;Halvkombi;2;Volkswagen;ID.3;249800;0;58
2487;1712;2023;SUV;4;Volvo;XC40;458000;0;79
2488;102;2025;Halvkombi;2;Volvo;EX30;429000;0;64
2489;101;2025;Halvkombi;2;Volvo;EX30;429000;0;64
2490;3699;2022;Halvkombi;2;Renault;Zoe;169000;0;52
2491;2190;2022;Halvkombi;2;Renault;Zoe;159000;0;52
2492;2373;2022;Halvkombi;2;Renault;Zoe;169000;0;52
2493;2984;2022;Halvkombi;2;Renault;Zoe;159000;0;52
2494;10811;2020;SUV;2;Hyundai;Kona;229000;0;64
2495;6004;2022;SUV;2;Volvo;XC40;339900;0;67
2496;185;2025;SUV;4;Volvo;EX40;599900;1;79
2497;651;2023;SUV;2;Mercedes-Benz;EQA;469000;0;71
2498;1197;2024;Halvkombi;2;Volvo;EX30;349900;0;49
2499;8077;2023;SUV;2;Volvo;C40;339900;1;79
2500;4600;2024;SUV;2;Mercedes-Benz;EQA;429000;0;70
2501;16500;2015;Sedan;4;Tesla;Model S;269800;0;81
2502;600;2025;SUV;4;Subaru;Solterra;529900;0;73
2503;1620;2024;SUV;4;Mercedes-Benz;EQA;489000;0;67
2504;1625;2023;SUV;4;Mercedes-Benz;EQA;479000;0;67
2505;7214;2022;SUV;4;Tesla;Model Y;358800;1;75
2506;1531;2023;SUV;4;Volkswagen;ID.4;439900;1;77
2507;6928;2021;Sedan;2;Tesla;Model 3;250000;0;55
2508;5100;2023;Halvkombi;2;Peugeot;e-208;229000;0;50
2509;2700;2023;SUV;4;Volkswagen;ID.4;429000;1;77
2510;8646;2022;SUV;4;Volkswagen;ID.4;399500;0;77
2511;0;2024;SUV;2;Peugeot;e-3008;539900;0;73
2512;7313;2022;Sedan;4;Tesla;Model 3;319800;0;75
2513;2048;2022;Halvkombi;2;Renault;Zoe;189900;0;52
2514;1094;2024;Halvkombi;2;Volvo;EX30;384900;0;64
2515;1130;2025;SUV;2;Volvo;EX40;499900;0;79
2516;910;2022;Halvkombi;2;MG;MG4;249900;0;64
2517;4312;2022;SUV;4;Volvo;C40;429500;0;79
2518;2934;2022;SUV;2;Volvo;XC40;349900;0;67
2519;9640;2022;SUV;4;Audi;Q4;429800;1;77
2520;499;2025;Kombi;2;Audi;A6;899900;1;95
2521;17427;2020;Sedan;4;Tesla;Model S;339500;0;95
2522;4793;2022;SUV;2;Volkswagen;ID.4;339900;0;77
2523;3358;2023;SUV;2;Volkswagen;ID.4;369900;0;77
2524;4188;2022;SUV;4;Skoda;Enyaq;439900;0;80
2525;3734;2023;SUV;2;Skoda;Enyaq;419900;0;80
2526;5752;2023;SUV;4;Skoda;Enyaq;499900;0;82
2527;1190;2023;SUV;4;Skoda;Enyaq;509000;0;82
2528;415;2025;Kombi;2;BMW;i5;688700;0;81
2529;9890;2021;SUV;2;BMW;iX3;378700;0;74
2530;10816;2021;SUV;2;Volkswagen;ID.4;289800;1;77
2531;4299;2020;Sedan;4;Tesla;Model 3;339900;0;74
2532;2400;2024;Yrkesfordon;2;Volkswagen;ID.Buzz cargo;529900;0;77
2533;1852;2021;Yrkesfordon;2;Mercedes-Benz;eVito;168000;0;41
2534;3841;2022;SUV;2;BMW;iX3;518800;1;74
2535;4471;2022;SUV;2;BMW;iX3;518800;1;74
2536;2880;2022;Halvkombi;2;BMW;i3;244900;0;42
2537;4154;2022;SUV;2;MG;Marvel R;289900;0;70
2538;1450;2024;Kombi;2;BMW;i5;799900;1;81
2539;5654;2023;SUV;4;Volvo;XC40;429500;0;79
2540;500;2025;Halvkombi;2;Volvo;EX30;389500;0;64
2541;167;2025;Halvkombi;2;Volvo;EX30;409500;0;64
2542;1677;2025;SUV;2;Volvo;EX40;529500;0;79
2543;827;2025;SUV;2;Volvo;EC40;529500;0;79
2544;10730;2022;SUV;2;Volvo;XC40;314500;0;67
2545;8659;2023;Sedan;4;Tesla;Model S;799900;0;95
2546;135;2025;Halvkombi;2;Volvo;EX30;509500;0;64
2547;4675;2022;SUV;2;MG;ZS;269900;0;70
2548;6556;2021;SUV;4;Ford;Mustang;349900;0;75
2549;3900;2023;SUV;4;Tesla;Model Y;420000;0;75
2550;2037;2022;Halvkombi;2;Nissan;Leaf;189900;0;40
2551;9673;2022;SUV;4;Tesla;Model Y;329900;1;75
2552;16022;2019;SUV;4;Audi;E-tron;319900;1;87
2553;1400;2023;Halvkombi;2;Nissan;Leaf;198800;0;40
2554;3620;2021;Halvkombi;2;Nissan;Leaf;174900;0;40
2555;690;2024;SUV;4;BMW;iX2;589500;1;65
2556;846;2024;SUV;4;BMW;iX2;569500;1;65
2557;5620;2019;Halvkombi;2;BMW;i3;199800;0;42
2558;2;2025;SUV;4;Volvo;EC40;559900;0;79
2559;6000;2021;Halvkombi;2;Nissan;Leaf;149000;0;40
2560;11007;2021;SUV;2;Kia;e-Niro;234900;1;64
2561;2500;2020;SUV;2;Hyundai;Kona;249900;0;64
2562;2670;2022;Halvkombi;4;Audi;E-tron;529000;0;87
2563;4473;2022;SUV;4;MG;Marvel R;339800;0;70
2564;2075;2022;SUV;4;BMW;iX;579500;1;71
2565;3817;2022;SUV;4;Mercedes-Benz;EQB;459000;0;67
2566;0;2025;Yrkesfordon;2;Ford;E-Transit;855900;0;74
2567;2500;2024;SUV;2;BMW;iX3;629900;1;74
2568;1600;2024;Kombi;2;BMW;i5;799900;1;81
2569;7799;2019;Halvkombi;2;Nissan;Leaf;199800;0;59
2570;2500;2022;Halvkombi;2;MG;MG4;259900;0;51
2571;14724;2023;SUV;4;Tesla;Model Y;319900;1;75
2572;2400;2023;Sedan;4;Tesla;Model 3;479000;1;75
2573;7855;2018;Halvkombi;2;Volkswagen;E-golf;149800;0;35
2574;2320;2024;Sedan;4;Polestar;2;509700;1;78
2575;2817;2022;Sedan;2;Polestar;2;325000;0;78
2576;5767;2020;Halvkombi;2;Nissan;Leaf;135000;0;40
2577;11468;2022;SUV;2;Volvo;XC40;299000;1;67
2578;4538;2022;Sedan;2;Polestar;2;299000;0;64
2579;5265;2022;Sedan;2;Polestar;2;325000;0;78
2580;10786;2023;SUV;2;Tesla;Model Y;339000;1;60
2581;5950;2022;Sedan;4;Polestar;2;349000;0;78
2582;4464;2022;SUV;4;Tesla;Model Y;379000;0;75
2583;2846;2022;Halvkombi;2;Nissan;Leaf;259000;0;59
2584;4903;2022;Sedan;2;Tesla;Model 3;315000;0;60
2585;7812;2022;Sedan;2;Polestar;2;299000;0;64
2586;9773;2021;SUV;2;Volkswagen;ID.4;269000;1;77
2587;3530;2022;Sedan;2;Tesla;Model 3;319000;0;60
2588;5620;2022;Sedan;2;Polestar;2;299000;0;64
2589;3189;2022;Sedan;4;Polestar;2;379000;1;78
2590;0;2025;Familjebuss;2;Volkswagen;ID.Buzz;685250;0;77
2591;5129;2022;Sedan;4;Polestar;2;389900;0;78
2592;2211;2023;Coupé;4;Volkswagen;ID.5;459900;1;77
2593;12665;2021;SUV;4;Ford;Mustang;305000;0;91
2594;1939;2022;Halvkombi;2;Nissan;Leaf;235000;0;59
2595;4286;2022;Halvkombi;2;Volkswagen;ID.3;279900;0;58
2596;5691;2022;Halvkombi;2;Renault;Zoe;179000;0;52
2597;3010;2022;Kombi;2;MG;MG5;219900;0;61
2598;1261;2024;Halvkombi;2;Volvo;EX30;349900;0;49
2599;406;2025;SUV;4;Volvo;EC40;569900;0;79
2600;15000;2020;Sedan;2;Tesla;Model 3;214700;0;55
2601;18628;2016;Sedan;4;Tesla;Model S;254800;0;86
2602;1706;2023;SUV;4;Kia;EV6;529000;1;77
2603;2063;2023;Halvkombi;2;Cupra;Born;299900;0;58
2604;2198;2023;Halvkombi;2;Cupra;Born;299900;0;58
2605;7305;2022;SUV;2;Audi;Q4;369000;1;77
2606;2920;2023;SUV;4;Tesla;Model Y;434800;1;75
2607;5509;2022;Sedan;2;Polestar;2;309000;0;64
2608;9382;2022;SUV;4;Volkswagen;ID.4;359900;1;77
2609;1728;2023;Coupé;2;Volkswagen;ID.5;479900;1;77
2610;3950;2021;SUV;2;Peugeot;e-2008;204900;0;50
2611;4841;2021;SUV;2;Skoda;Enyaq;389000;1;80
2612;18158;2019;Sedan;4;Tesla;Model 3;199900;0;74
2613;4222;2021;SUV;4;Tesla;Model Y;374800;0;75
2614;4034;2022;Sedan;2;Polestar;2;319000;0;64
2615;2120;2024;SUV;4;Kia;EV6;529200;1;77
2616;8987;2021;Sedan;4;Tesla;Model 3;319000;0;76
2617;2831;2023;SUV;4;Volkswagen;ID.4;459900;1;77
2618;10235;2021;Halvkombi;2;Kia;e-Soul;199000;0;64
2619;2633;2023;Sedan;2;XPENG;P7;419900;0;83
2620;6294;2021;SUV;2;BMW;iX3;429900;1;74
2621;3400;2022;SUV;4;Volkswagen;ID.4;389900;1;77
2622;0;2024;Yrkesfordon;2;Volkswagen;ID.Buzz cargo;568750;0;77
2623;11700;2021;SUV;2;Volkswagen;ID.4;285000;1;77
2624;8703;2021;SUV;4;Ford;Mustang;460000;0;91
2625;5432;2022;SUV;2;Ford;Mustang;369900;0;91
2626;0;2025;SUV;4;Porsche;Macan;1348100;1;95
2627;4597;2022;SUV;2;Kia;e-Niro;304900;0;64
2628;4415;2022;SUV;2;Kia;e-Niro;304900;0;64
2629;3232;2022;SUV;2;Opel;Mokka-E;219900;0;50
2630;2077;2021;SUV;2;Kia;e-Niro;279900;0;64
2631;4635;2022;SUV;2;Peugeot;e-2008;189700;0;50
2632;3410;2022;SUV;2;BYD;Atto 3;279900;0;60
2633;7708;2022;SUV;4;Kia;EV6;449900;1;77
2634;5011;2022;SUV;4;Tesla;Model Y;429900;0;75
2635;858;2024;Sedan;4;Tesla;Model 3;524900;0;75
2636;4522;2021;Halvkombi;2;Nissan;Leaf;184900;0;40
2637;8175;2022;SUV;2;Kia;e-Niro;254900;0;64
2638;3965;2022;Halvkombi;2;Citroën;e-C4;214900;0;50
2639;3196;2023;SUV;4;Tesla;Model Y;428900;1;75
2640;3966;2021;SUV;4;Ford;Mustang;389000;0;75
2641;4850;2022;SUV;2;Kia;EV6;379900;0;77
2642;7049;2022;SUV;2;Kia;e-Niro;269800;0;64
2643;9509;2020;SUV;2;Kia;e-Niro;224900;1;64
2644;1;2025;Halvkombi;2;Cupra;Born;641000;0;79
2645;2922;2020;Sedan;2;Tesla;Model 3;299800;0;55
2646;3926;2023;SUV;2;Skoda;Enyaq;459900;1;80
2647;5700;2022;SUV;2;Kia;e-Niro;259000;0;64
2648;1;2025;SUV;4;Kia;EV6;710400;0;84
2649;2181;2023;Yrkesfordon;2;Volkswagen;ID.Buzz cargo;539900;0;77
2650;1200;2024;Kombi;4;Audi;SQ6;1195000;0;95
2651;0;2025;Halvkombi;2;Citroën;e-C3;334900;0;44
2652;4900;2022;SUV;2;BYD;Atto 3;279900;0;60
2653;6072;2021;SUV;2;MG;ZS;244900;0;70
2654;0;2025;Halvkombi;2;Citroën;e-C3;340800;0;44
2655;4501;2022;SUV;2;MG;ZS;244900;0;70
2656;4646;2021;SUV;2;MG;Marvel R;269900;0;70
2657;2472;2022;SUV;2;Volvo;XC40;369900;0;67
2658;3197;2022;SUV;2;Kia;e-Niro;289800;0;64
2659;83527;2014;Sedan;2;Tesla;Model S;135000;0;86
2660;0;2025;Familjebuss;4;Kia;EV9;877900;0;100
2661;4448;2022;SUV;2;Volvo;XC40;369900;0;67
2662;9459;2022;SUV;4;Tesla;Model Y;344800;1;75
2663;4025;2023;Sedan;2;Porsche;Taycan;729000;0;71
2664;9900;2019;Halvkombi;2;Nissan;Leaf;129900;0;40
